,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2015,32.6,SG.DMK.ALLD.FN.ZS,AFG,Afghanistan,South Asia,Low income,IDA
1,2015,17.4,SG.DMK.ALLD.FN.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
2,2015,72.1,SG.DMK.ALLD.FN.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
3,2015,63.1,SG.DMK.ALLD.FN.ZS,GTM,Guatemala,Latin America & Caribbean ,Upper middle income,IBRD
4,2015,64.7,SG.DMK.ALLD.FN.ZS,MOZ,Mozambique,Sub-Saharan Africa ,Low income,IDA
5,2015,65.4,SG.DMK.ALLD.FN.ZS,RWA,Rwanda,Sub-Saharan Africa ,Low income,IDA
6,2015,9.9,SG.DMK.ALLD.FN.ZS,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
7,2016,6.3,SG.DMK.ALLD.FN.ZS,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
8,2017,14.1,SG.DMK.ALLD.FN.ZS,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
9,2018,9.7,SG.DMK.ALLD.FN.ZS,SEN,Senegal,Sub-Saharan Africa ,Lower middle income,IDA
10,2015,72.1,SG.DMK.ALLD.FN.ZS,ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Blend
